Name,Uses,Dosage,Age Restriction,Side Effect,Symptoms
Crocin ,"Fever, Pain relief",500 mg ,Not under  12 years,Mild nausea ,"Fever,Pain,Headache,Body Ache"
Amoxicillin ,Bacterial Infection,250 mg 3 time a day ,N/A,"Rash,Diarrhea ","Fatigue, Swollen lymph  nodes,Tonsilities"
Zyrtec,For minute allergy infection,1 tablet daily ,Not under 10 years,"Drowsiness, dry mouth ","Runny nose,Sneezing,Itchy eyes,Allergy,Itching"
Nutrich capsule ,For hair growth & hair thicking ,2 tablet a day  (for 25 yrs or below patient) 1 tablet a day (for 30 or above yrs patient),Not under 15 years,Accidental over dosage may cause:  mild allergic reaction & the burning sensation in the stomach.,"Hair thinning, Hair loss, weak scalp"
Cholecalciferol tablet,Bone strength & vitamin  D ,1 capsule a day ,Generally no age restriction but avoid to (0 - 12 month) infant,Over dosage of the tablet  may cause: vitamin  D toxicity and more over dosage cause a kidney and  urinary issue.,"Vitamin D deficiency, Bone pain, muscle weakness"
Cetrizine,Antihistamine,10 mg,N/A,"Drowsiness, sore throat,Diarrhea(Specially in children)","Runny nose,Sneezing,Itchy eyes,Allergy,Itching"
Paracetamol,"pain relief, fever",500 mg to 1000 mg,N/A,"nausea, liver damage(if overdose)","fever, minor pain, body pain"
Ibuprofen,"Inflammation,pain,arthritis",200 mg to 400 mg,not under 9 months,"stomach pain,heartburn,ulcers","inflammation,pain,arthritis"
Metformin,Maintain blood sugar,500 mg to 1000 mg,not under 18 years,"bloating,gas,diarrhea",High blood sugar
Aspirin,Pain/Blood Thinner,300mg as needed,16+,Bleeding risk,Pain/Blood Thiking
Naproxen,Joint Pain/Swelling,250-500mg every 12h,12+,Gastric irritation,Joint Pain/Swelling
Diclofenac,Arthritis/Pain,50mg every 8h,18+,Heartburn,Arthritis/Pain
Codeine,Severe Pain,15-30mg every 4h,12+,Constipation,Severe Pain
Tramadol,Moderate-Severe Pain,50-100mg every 4-6h,12+,Dizziness,Moderate-Severe Pain
Morphine,Severe Pain,2.5-10mg every 4h,Prescription needed,Drowsiness,Severe Pain
Oxycodone,Severe Pain,5-10mg every 6h,Prescription needed,Addiction risk,Severe Pain
Gabapentin,Nerve Pain,300mg day 1 then up,18+,Fatigue,Nerve Pain
Pregabalin,Nerve Pain/Anxiety,75mg twice daily,18+,Weight gain,Nerve Pain/Anxiety
Amitriptyline,Nerve Pain/Migraine,10-25mg at night,12+,Dry mouth,Nerve Pain/Migraine
Sumatriptan,Migraine Attack,50mg at onset,18+,Tingling,"Migraine Attack, migraine"
Rizatriptan,Migraine Attack,10mg at onset,18+,Drowsiness,"Migraine Attack, migraine"
Co-amoxiclav,Severe Infection,625mg every 8h,Prescription needed,Diarrhea,"Severe Infection, infection"
Flucloxacillin,Skin Infection,500mg every 6h,Prescription needed,Nausea,Skin Infection
Phenoxymethylpenicillin,Throat Infection,500mg every 6h,Prescription needed,Allergy,Throat Infection
Cephalexin,UTI/Skin Infection,500mg every 6h,Prescription needed,Diarrhea,UTI/Skin Infection
Cefaclor,Ear/Throat Infection,250mg every 8h,Prescription needed,Itching,Ear/Throat Infection
Cefixime,Gonorrhea/Infection,400mg single dose,Prescription needed,Stomach pain,Gonorrhea/Infection
Trimethoprim,UTI,200mg twice daily,12+,Nausea,UTI
Nitrofurantoin,UTI,100mg twice daily,12+,Dark urine,UTI
Ciprofloxacin,Severe Bacterial Inf,500mg every 12h,18+,Tendon pain,Severe Bacterial Inf
